seed,method,step,loss,mean_q,max_q
2,cql,12000,722.6338500976562,68.10498046875,198.33294677734375
2,cql,14000,737.7776489257812,86.43780517578125,233.44537353515625
2,cql,16000,480.8952941894531,102.04446411132812,265.01446533203125
2,cql,18000,343.7445373535156,118.94850158691406,283.25933837890625
2,cql,20000,369.91485595703125,137.38137817382812,306.6629638671875
2,cql,22000,390.975830078125,158.47320556640625,337.5050048828125
2,cql,24000,465.4306640625,180.72671508789062,361.26348876953125
2,cql,26000,468.0243225097656,203.0914306640625,388.3021240234375
2,cql,28000,544.7456665039062,227.93099975585938,420.09881591796875
2,cql,30000,644.1181640625,257.5249328613281,461.4444274902344
2,cql,32000,541.689208984375,285.9354248046875,516.6588134765625
2,cql,34000,477.729736328125,315.72149658203125,569.9266967773438
2,cql,36000,554.860595703125,346.86126708984375,627.0140380859375
2,cql,38000,664.9795532226562,378.9880676269531,676.475341796875
2,cql,40000,711.0565795898438,417.6477966308594,744.89404296875
